week,energy_per_day,day_count,energy_per_day_std,energy_uncert_hi,energy_uncert_lo
2019-01-01/2019-01-07,874.1762078400974,7,451.2754504248504,1325.4516582649478,422.90075741524697
2019-01-08/2019-01-14,846.1114432775713,7,433.98362935933835,1280.0950726369097,412.12781391823296
2019-01-15/2019-01-21,1226.7042002638486,7,217.93554242297293,1444.6397426868216,1008.7686578408757
2019-01-22/2019-01-28,1396.7559697931151,7,80.15001479109368,1476.905984584209,1316.6059550020213
2019-01-29/2019-02-04,895.0027678383306,7,349.9605837573291,1244.9633515956598,545.0421840810014
2019-02-05/2019-02-11,1033.0512339888883,7,513.2628980078493,1546.3141319967376,519.7883359810389
2019-02-12/2019-02-18,1048.6849323077945,7,423.4497829993467,1472.1347153071413,625.2351493084477
2019-02-19/2019-02-25,1174.0613257627872,7,572.7625264582863,1746.8238522210736,601.2987993045009
2019-02-26/2019-03-04,1338.4901390030625,7,218.92466121819433,1557.4148002212569,1119.565477784868
2019-03-05/2019-03-11,1009.3466305627269,7,376.6913011436437,1386.0379317063707,632.6553294190832
2019-03-12/2019-03-18,1190.5633834481575,7,438.1328713563478,1628.6962548045053,752.4305120918098
2019-03-19/2019-03-25,1378.7216426533923,7,206.63403914122316,1585.3556817946155,1172.0876035121692
2019-03-26/2019-04-01,1371.7212422391847,7,159.79657652829997,1531.5178187674846,1211.9246657108847
2019-04-02/2019-04-08,1300.793117078141,7,266.5523149465088,1567.3454320246497,1034.2408021316323
2019-04-09/2019-04-15,1402.1039801005386,7,248.577160160304,1650.6811402608425,1153.5268199402346
2019-04-16/2019-04-22,1358.493707070147,7,172.82047124527395,1531.3141783154208,1185.673235824873
2019-04-23/2019-04-29,1286.0556332204535,7,213.4232317979133,1499.4788650183668,1072.6324014225402
2019-04-30/2019-05-06,1371.6116362371565,7,95.81949492024577,1467.4311311574022,1275.7921413169108
2019-05-07/2019-05-13,1181.9883249301786,7,227.9197580519913,1409.9080829821698,954.0685668781873
2019-05-14/2019-05-20,1203.484189340156,7,273.56790920958855,1477.0520985497446,929.9162801305674
2019-05-21/2019-05-27,1436.7478874948179,7,22.158676684323037,1458.9065641791408,1414.589210810495
2019-05-28/2019-06-03,1341.7657976458308,7,32.15410215652185,1373.9198998023528,1309.6116954893089
2019-06-04/2019-06-10,1234.2035857352723,7,109.03196410199995,1343.2355498372722,1125.1716216332725
2019-06-11/2019-06-17,1257.8398456365917,7,65.5879208764129,1323.4277665130046,1192.2519247601788
2019-06-18/2019-06-24,1316.162092644358,7,17.38042383440062,1333.5425164787584,1298.7816688099574
2019-06-25/2019-07-01,1078.5819481831184,7,222.04394588173886,1300.6258940648572,856.5380023013795
2019-07-02/2019-07-08,1131.587138075758,7,211.9271178300849,1343.514255905843,919.6600202456732
2019-07-09/2019-07-15,1037.7927112170416,7,166.67719718876745,1204.469908405809,871.1155140282742
2019-07-16/2019-07-22,1144.688591965674,7,44.12761197992063,1188.8162039455947,1100.5609799857534
2019-07-23/2019-07-29,1064.3762258603542,7,113.37969597182872,1177.755921832183,950.9965298885255
2019-07-30/2019-08-05,1015.0574803244369,7,197.94703447775206,1213.004514802189,817.1104458466849
2019-08-06/2019-08-12,967.7582113457585,7,261.9345646664646,1229.692776012223,705.8236466792939
2019-08-13/2019-08-19,1219.944381102879,7,69.95227198199433,1289.8966530848734,1149.9921091208848
2019-08-20/2019-08-26,1191.332243233959,7,73.724598922825,1265.056842156784,1117.607644311134
2019-08-27/2019-09-02,1135.2284034257843,7,136.26224223954796,1271.4906456653323,998.9661611862364
2019-09-03/2019-09-09,1131.3507741061242,7,161.24273302717626,1292.5935071333004,970.108041078948
2019-09-10/2019-09-16,947.2614731460211,7,264.9010354464043,1212.1625085924254,682.3604376996168
2019-09-17/2019-09-23,1338.7569085528235,7,51.31670207046969,1390.0736106232932,1287.4402064823537
2019-09-24/2019-09-30,1006.14647682599,7,569.1346906981647,1575.2811675241546,437.0117861278253
2019-10-01/2019-10-07,1321.0198954759853,7,144.04140882231184,1465.0613042982973,1176.9784866536734
2019-10-08/2019-10-14,1391.5792116754994,7,48.14073877724778,1439.7199504527473,1343.4384728982516
2019-10-15/2019-10-21,1357.9238664050067,7,84.5804310333929,1442.5042974383996,1273.3434353716139
2019-10-22/2019-10-28,1421.246077093292,7,42.9423595919201,1464.188436685212,1378.3037175013717
2019-10-29/2019-11-04,1320.9117545520608,7,165.3001315573603,1486.2118861094211,1155.6116229947004
2019-11-05/2019-11-11,859.3969221401006,7,255.3278178096135,1114.7247399497141,604.0691043304871
2019-11-12/2019-11-18,1199.1215781278097,7,172.95009769886954,1372.0716758266792,1026.1714804289402
2019-11-19/2019-11-25,818.8641382663344,7,396.49776722026303,1215.3619054865974,422.3663710460714
2019-11-26/2019-12-02,875.6605675419585,7,582.9574757344606,1458.618043276419,292.7030918074979
2019-12-03/2019-12-09,892.709890219998,7,357.5501146949642,1250.260004914962,535.1597755250339
2019-12-10/2019-12-16,1270.9154434811298,7,122.47478560294434,1393.3902290840742,1148.4406578781854
2019-12-17/2019-12-23,1112.8424937344535,7,461.7841365438736,1574.626630278327,651.0583571905798
2019-12-24/2019-12-30,803.9700224673135,7,470.59780472541786,1274.5678271927313,333.3722177418956
